Month,crop_name,Price,Rainfall,Temperature,season,typhoon_count
2020-01,Palay,19.03,328.42,28.55,Dry,1
2020-01,Mais_White,16.93,328.42,28.55,Dry,1
2020-01,Mais_Yellow,14.79,328.42,28.55,Dry,1
2020-01,Eggplant,54.77,328.42,28.55,Dry,1
2020-01,Okra,77.43,328.42,28.55,Dry,1
2020-01,Tomato,44.88,328.42,28.55,Dry,1
2020-01,Ampalaya,117.46,328.42,28.55,Dry,1
2020-01,Squash,33.24,328.42,28.55,Dry,1
2020-01,Patola,61.75,328.42,28.55,Dry,1
2020-01,Upo,59.9,328.42,28.55,Dry,1
2020-01,Cucumber,62.74,328.42,28.55,Dry,1
2020-01,Pechay,67.16,328.42,28.55,Dry,1
2020-01,Mustard,48.71,328.42,28.55,Dry,1
2020-01,Kangkong,26.85,328.42,28.55,Dry,1
2020-01,Lettuce,111.85,328.42,28.55,Dry,1
2020-01,Cabbage,80.66,328.42,28.55,Dry,1
2020-01,Sitao,45.15,328.42,28.55,Dry,1
2020-01,Mungbean,96.83,328.42,28.55,Dry,1
2020-01,Winged_Bean,157.33,328.42,28.55,Dry,1
2020-01,Peanut,99.66,328.42,28.55,Dry,1
2020-01,Beans,69.87,328.42,28.55,Dry,1
2020-01,Hot_Pepper,188.75,328.42,28.55,Dry,1
2020-01,Pepper_Panigang,84.67,328.42,28.55,Dry,1
2020-01,Bell_Pepper,173.97,328.42,28.55,Dry,1
2020-01,Black_Pepper,486.29,328.42,28.55,Dry,1
2020-01,Ginger,199.78,328.42,28.55,Dry,1
2020-01,Turmeric,153.24,328.42,28.55,Dry,1
2020-01,Onion,107.75,328.42,28.55,Dry,1
2020-01,Garlic,145.49,328.42,28.55,Dry,1
2020-01,Lemon_Grass,56.15,328.42,28.55,Dry,1
2020-01,Gabi,52.18,328.42,28.55,Dry,1
2020-01,Bundo,32.96,328.42,28.55,Dry,1
2020-01,San_Fernando,44.52,328.42,28.55,Dry,1
2020-01,Camote,25.99,328.42,28.55,Dry,1
2020-01,Ubi,40.78,328.42,28.55,Dry,1
2020-01,Cassava,26.82,328.42,28.55,Dry,1
2020-01,Radish,24.15,328.42,28.55,Dry,1
2020-01,Turnips,33.07,328.42,28.55,Dry,1
2020-01,Banana_Saba,39.01,328.42,28.55,Dry,1
2020-01,Banana_Lakatan,95.61,328.42,28.55,Dry,1
2020-01,Calamansi,43.2,328.42,28.55,Dry,1
2020-01,Lanzones,115.14,328.42,28.55,Dry,1
2020-01,Rambutan,88.67,328.42,28.55,Dry,1
2020-01,Papaya,29.27,328.42,28.55,Dry,1
2020-01,Guyabano,93.54,328.42,28.55,Dry,1
2020-01,Pineapple,77.24,328.42,28.55,Dry,1
2020-01,Avocado,135.12,328.42,28.55,Dry,1
2020-01,Jackfruit,39.97,328.42,28.55,Dry,1
2020-01,Watermelon,33.57,328.42,28.55,Dry,1
2020-01,Melon,53.17,328.42,28.55,Dry,1
2020-01,Dragon_Fruit,193.43,328.42,28.55,Dry,1
